scientificname;yeareventdate;montheventdate;dayeventdate;stateprovince;county;municipality;minimumelevationinmeters;decimallatitude;decimalLongitude
Euphydryas aurinia (Rottemburg, 1775);1989.000000;5.000000;28.000000;Álava;Añana;Zambrana;578.000000;42.660000;-2.879200
Euphydryas aurinia (Rottemburg, 1775);1976.000000;6.000000;13.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;580.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1976.000000;6.000000;16.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;580.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1977.000000;6.000000;15.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;580.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1978.000000;6.000000;3.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;517.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1987.000000;6.000000;27.000000;Álava;Arabako Lautada / Llanada Alavesa;Barrundia;564.000000;42.916700;-2.491700
Euphydryas aurinia (Rottemburg, 1775);1978.000000;6.000000;16.000000;Álava;Arabako Lautada / Llanada Alavesa;Barrundia;551.000000;42.916700;-2.491700
Euphydryas aurinia (Rottemburg, 1775);1982.000000;5.000000;20.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;527.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1985.000000;5.000000;25.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;527.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1985.000000;6.000000;1.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;527.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1986.000000;6.000000;8.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;527.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1987.000000;5.000000;9.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;527.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1987.000000;6.000000;6.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;527.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1988.000000;6.000000;22.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;527.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1990.000000;6.000000;3.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;527.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1981.000000;6.000000;6.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;850.000000;42.757500;-2.454700
